path,owner,status,reason
aquillm/apps/chat/services/tool_wiring/documents.py,chat,equivalent / graph-only excluded,Existing permission checks and figure payload behavior preserved; no hybrid graph dependencies or graph authorization args introduced.
aquillm/apps/chat/services/tool_wiring/memory.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tasks/__init__.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tasks/conversation_indexing.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/cross_document_acceptance_support.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/rag_evidence_handoff_test_support.py,chat,equivalent,Kept production helper split; development merely inlines same support code.
aquillm/apps/chat/tests/test_chat_history_search_intent.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/test_collection_prompt_skills.py,chat,mixed/adapted,Imported SQL-filter regression; changed async DB-wrapper test to transactional fixture because channels closes old DB connections.
aquillm/apps/chat/tests/test_conversation_chunking.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/test_conversation_indexing.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/test_cross_document_acceptance.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/test_direct_rag_pipeline.py,chat,mixed/adapted,Independent development acceptance tests imported; four graph-only tests removed; added real routing regression for memory-tool preemption.
aquillm/apps/chat/tests/test_direct_rag_recovery.py,chat,equivalent,Retained production recovery regressions; development moves these cases into direct pipeline test file.
aquillm/apps/chat/tests/test_direct_rag_websocket_smoke.py,chat,equivalent,Retained stronger production reconnect episodic-skip assertion; optional memory factory mock is not required by existing passing test.
aquillm/apps/chat/tests/test_rag_candidate_pool.py,chat,equivalent,Retained production candidate-pool regression; development moves into direct pipeline test file.
aquillm/apps/chat/tests/test_rag_evidence.py,chat,graph-only excluded,Only added test is graph-expanded evidence metadata/budget test.
aquillm/apps/chat/tests/test_rag_evidence_handoff.py,chat,mixed/adapted,Added request-only grounding regression; preserved main split fixture helper instead of source inlining refactor.
aquillm/apps/chat/tests/test_rag_query.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/chat/tests/test_single_document_graph_overlay.py,chat,graph-only excluded,Graph retrieval overlay tests.
aquillm/apps/chat/tests/test_tool_wiring_doc_access_cache.py,chat,ported,Development implementation/test imported; no graph dependency.
aquillm/apps/collections/management/__init__.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/management/commands/__init__.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/management/commands/generate_missing_collection_schemas.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/migrations/0002_collection_schema.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/migrations/0003_schema_head_and_generation_fencing.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/models/__init__.py,root-review,retained main / graph-only delta,Source exports only added graph schema models.
aquillm/apps/collections/models/collection.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/collections/models/schema.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/django_retrieval_authorization.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/graph_progress.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/graph_visualization.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/retrieval_authorization.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/retrieval_authorization_contracts.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/schema.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/schema_generation.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/services/schema_generation_support.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tasks/__init__.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tasks/schema_generation.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_collection_parent_lock_order.py,root-review,retained main / graph-only delta,Tests graph generation fencing and collection schema parent locking.
aquillm/apps/collections/tests/test_django_retrieval_authorization.py,root-review,retained main / graph-only delta,Graph-gated authorization provider tests.
aquillm/apps/collections/tests/test_graph_build_progress.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_graph_visualization_api.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_retrieval_authorization.py,root-review,retained main / graph-only delta,Graph retrieval authorization contract tests.
aquillm/apps/collections/tests/test_schema_api.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_audit_regressions.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_backfill_command.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation_compose.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation_hardening.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation_settling.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation_task.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation_task_leases.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_generation_task_lifecycle.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/tests/test_schema_models.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/views/api.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/collections/views/graph_api.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/views/pages.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/collections/views/schema_api.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/views/schema_api_fixtures.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/collections/views/schema_api_helpers.py,root-review,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/core/views/pages.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/documents/migrations/0003_document_source_url.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/migrations/0004_documentfigure_concrete_parent_key.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/models/chunks.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/models/document.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/models/document_types/figure.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/models/document_types/raw_text.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/services/chunk_rerank.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/services/chunk_rerank_budget.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/services/chunk_rerank_config.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/services/chunk_rerank_local_vllm.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/services/chunk_rerank_parse.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/services/chunk_rerank_score.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/services/chunk_search.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/services/chunk_search_candidates.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/chunk_search_fusion.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/chunk_search_graph_seeds.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/chunk_search_legacy_graph.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/citation_narrow.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/services/hybrid_graph_authorization.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/hybrid_graph_dependencies.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/hybrid_graph_orchestration.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/services/image_payloads.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/services/rag_cache.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/services/rag_cache_rerank.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/tasks/chunking.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/tests/_chunk_graph_lifecycle_support.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/hybrid_graph_test_support.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_graph_identity.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_graph_lifecycle.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_graph_multimodal.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_graph_replacement.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_rerank_budget.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/tests/test_chunk_search_candidates.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_search_diagnostics.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/tests/test_chunk_search_fusion.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_search_graph_overlay.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_chunk_search_query_cache.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_citation_api.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_document_figure_parent_schema.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_document_move.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/tests/test_document_save_lock_order.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_fallback_authorization.py,documents,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_graph_authorization.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_graph_authorization_scope.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_graph_dependencies.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_graph_failures.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_graph_orchestration.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_hybrid_graph_reranker_authority.py,graph-candidate,graph-only excluded / equivalent baseline,"Graph overlay, provenance, lifecycle locking, scope, fusion or schema types excluded. Baseline lexical/vector selection already equivalent; lazy-vector failure fallback and privacy diagnostics independently ported to chunk_search. Independent chunk lifecycle protection reimplemented without graph references."
aquillm/apps/documents/tests/test_multimodal_chunk_position_uniqueness.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_pdf_response.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_rag_cache.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_rerank_capability_cache.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/tests/test_rerank_http_cache.py,documents,mixed / adapted,Independent source behavior ported while removing graph dependencies and preserving production hardening; graph lifecycle replaced by document row transactions and post-delete cleanup.
aquillm/apps/documents/tests/test_rerank_request_routing.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/tests/test_rerank_score_validation.py,documents,equivalent / stronger main retained,"Production hardening retained: shared query budget, complete finite score checks, stable ties, cached endpoint validation/routing, or terminal-error recovery. Config retains tested main 900-char/96-token reserve defaults; source metadata accessors support graph evaluation only."
aquillm/apps/documents/tests/test_retrieval_log_redaction.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/tests/test_text_chunk_document.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/views/api.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/documents/views/pages.py,documents,ported,Independent source feature or regression imported.
aquillm/apps/ingestion/services/arxiv_ingest.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/tests/test_ingest_consumers_auth.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/tests/test_transcribe_provider_selection.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/tests/test_unified_ingestion_api.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/views/api/arxiv.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/views/api/uploads.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/views/api/web.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/ingestion/views/pages.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/integrations/zotero/services/library_sync.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/integrations/zotero/services/sync_collections.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/integrations/zotero/services/sync_items.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/integrations/zotero/tasks.py,root-review,ported / adapted,Independent development behavior or documentation ported; main-specific reliability and deployment settings preserved.
aquillm/apps/knowledge_graph/__init__.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/knowledge_graph/apps.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/knowledge_graph/evals/__init__.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/knowledge_graph/evals/extraction_cases.yaml,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
aquillm/apps/knowledge_graph/evals/fixture_manifest.py,graph-candidate,graph-only excluded,"New graph schema, lifecycle fencing, extraction, topology, evaluation or UI integration; no independent runtime change identified."
